username,gender,zip,highest_education
1ifSECGbSNOVMlDLiaHn3qIiep1xTruH,missing,15909,graduate
J7qSizLnQ0QAyxNWuoJFZmoENjvDHIBE,missing,60073,highschool
arO9I6f9CFBFHGxZhxQW6c433v3nbn9v,,93428,some college
J6dRRTe1g3KLM8fQLfl7rrnqU1BufMgl,missing,1220,some college
tBYNgYMLcaid5WsG2NgVjslnqBmTbXuo,male,20747,highschool
t7E1vZtGQbSSizV4xYOd5KHhRDOCUCjx,female,54220,missing
Rb8sCGQInZ4aUJFjvR50K9NgQ2RyqX9X,missing,17339,highschool
Pe5WMotTf5HMq3hNpICq7pbnjQeqT1z5,missing,46151,highschool
lGzxAT1STJnnbFSoXQ6NqINpRyNRJBm8,,18974,highschool
UWEaR6HzZCjTt1f8ipYp9uWEudrdppBQ,male,29461,some college
suFmXRZ6OlwKqPKH3KIFQyGGjnQqyNmL,male,49795,highschool
VGpsDdnTGsfrp3adgxkdRhxpkaNF7Bg2,,75208,some college
icxEwxuTi6L25zsFsLqGHUofsiDZNVTF,female,17050,college
CWRaNrsbmD4AHgl3DdhgCh2glEBISBG7,female,43615,some college
YwdsRsHYervYLk48Gr1hWkSfDceYJsi1,missing,34221,no highschool
nGwBjr1877QgZpDK2ND78whRoykT4TVD,female,40391,highschool
GoCzFgZtKHP9v4b0WP4lIjCorcS7Jt3F,missing,11749,highschool
RdOt9G6BQbLDtyywMd9fuLxHBkYZbtki,,72653,some college
uJQbjSAUKl9mATLkoLUgrR5h8oVXq5wA,female,67156,some college
uMZZ850U0MHp7EHL1XEqNH9VTH4bDNA2,male,79605,highschool
PFOdrAbNhbY7ZRo1VRdliNAoqG0sfnEy,female,29501,highschool
Hub2I3namS9s0e65YhMnADA3Yzc74Tl5,,44706,college
NPX02t6T7sGTCLxxEMvoTBlhZB2LcUil,male,64132,college
7RXHFxrn4kiXQObbgqdYipa08Qg0LOBZ,missing,32960,highschool
s4TNdVBVykBR8x72RZEnjBx6ebkwwW3k,male,19506,some college
RZhfyKo1wqKOb6EzffndReBfZir2o6EQ,,98362,some college
TAICE12eJXtkTifnVIGyXxcJTLVmeNeD,missing,44110,some college
uKKH13MBmHkwgsz85PNXZEuO4VTZr9ny,,98221,some college
QkvJcZUtnpRrWhD59yrABSBQVfhA0msB,missing,44822,highschool
0hW6sYoGViFqGkBQBINyLwO8TJQn4wyr,female,19320,some college
GkMPRsfFe1qH4goRpqMIhPhwHOYmEZJ9,female,47374,highschool
AcVnoJGCSxDBdxxOzjz5lADfAqjgAunB,,79601,college
0jvzmQvNHlFVAjxd7em3yeEDVAG2gLbq,female,92868,some college
RbskEZqQKwCnVdL6duQzlEj5uu5RNIef,male,29510,highschool
4AaseCkoxNwvEsEeiOn9trzrINb50xKE,female,44313,graduate
adNgH8aUJYXxAgqAiQQrcqJHG4wm7I6V,male,44432,highschool
2brfbtCm4kcVm5Xvz8Jw1eZfaRPhXxis,,92317,highschool
5zfub9AGsEnCOuCFwxgmzszIH1zKJYiU,male,77082,some college
ItvdioPOr8z0ADGt7mDF2b9YZSmNYpux,female,16033,highschool
AdZFV9sO1gJgqtrxJrKT3ZcjH3XA6zTA,missing,11234,no highschool
f4cvLFWEQOU4sbuH0B37sSrxuCEaUn8D,missing,2066,highschool
